,Time,RSSI,File Name
16,11-07-2023 15:35:56:334,-59,12.5m
17,11-07-2023 15:35:58:334,-59,12.5m
18,11-07-2023 15:36:00:335,-59,12.5m
19,11-07-2023 15:36:02:333,-59,12.5m
20,11-07-2023 15:36:04:334,-59,12.5m
21,11-07-2023 15:36:06:334,-59,12.5m
22,11-07-2023 15:36:08:335,-59,12.5m
23,11-07-2023 15:36:10:334,-59,12.5m
24,11-07-2023 15:36:12:335,-59,12.5m
25,11-07-2023 15:36:14:334,-59,12.5m
26,11-07-2023 15:36:16:335,-59,12.5m
27,11-07-2023 15:36:18:334,-60,12.5m
28,11-07-2023 15:36:20:334,-60,12.5m
29,11-07-2023 15:36:22:335,-60,12.5m
30,11-07-2023 15:36:24:336,-60,12.5m
31,11-07-2023 15:36:26:337,-62,12.5m
32,11-07-2023 15:36:28:336,-62,12.5m
33,11-07-2023 15:36:30:337,-62,12.5m
34,11-07-2023 15:36:32:337,-62,12.5m
35,11-07-2023 15:36:34:337,-63,12.5m
36,11-07-2023 15:36:36:338,-64,12.5m
37,11-07-2023 15:36:38:338,-64,12.5m
38,11-07-2023 15:36:40:337,-64,12.5m
39,11-07-2023 15:36:42:338,-65,12.5m
40,11-07-2023 15:36:44:338,-65,12.5m
41,11-07-2023 15:36:46:338,-64,12.5m
42,11-07-2023 15:36:48:337,-64,12.5m
43,11-07-2023 15:36:50:338,-64,12.5m
44,11-07-2023 15:36:52:337,-64,12.5m
45,11-07-2023 15:36:54:338,-64,12.5m
46,11-07-2023 15:36:56:338,-63,12.5m
47,11-07-2023 15:36:58:339,-63,12.5m
48,11-07-2023 15:37:00:340,-63,12.5m
49,11-07-2023 15:37:02:339,-63,12.5m
50,11-07-2023 15:37:04:340,-63,12.5m
51,11-07-2023 15:37:06:341,-63,12.5m
52,11-07-2023 15:37:08:342,-63,12.5m
53,11-07-2023 15:37:10:342,-63,12.5m
54,11-07-2023 15:37:12:341,-63,12.5m
55,11-07-2023 15:37:14:342,-63,12.5m
56,11-07-2023 15:37:16:342,-63,12.5m
57,11-07-2023 15:37:18:342,-63,12.5m
58,11-07-2023 15:37:20:343,-63,12.5m
59,11-07-2023 15:37:22:342,-63,12.5m
60,11-07-2023 15:37:24:343,-63,12.5m
0,Mac Address ,28:DE:65:6E:4E:16,12.5_1
1,,,12.5_1
2,Time, RSSI,12.5_1
3,11-07-2023 15:34:00:499,-61,12.5_1
4,11-07-2023 15:34:02:498,-61,12.5_1
5,11-07-2023 15:34:04:499,-61,12.5_1
6,11-07-2023 15:34:06:499,-61,12.5_1
7,11-07-2023 15:34:08:499,-61,12.5_1
8,11-07-2023 15:34:10:500,-61,12.5_1
9,11-07-2023 15:34:12:499,-61,12.5_1
10,11-07-2023 15:34:14:500,-61,12.5_1
11,11-07-2023 15:34:16:500,-61,12.5_1
12,11-07-2023 15:34:18:501,-61,12.5_1
13,11-07-2023 15:34:20:501,-61,12.5_1
14,11-07-2023 15:34:22:502,-63,12.5_1
15,11-07-2023 15:34:24:502,-63,12.5_1
16,11-07-2023 15:34:26:501,-63,12.5_1
17,11-07-2023 15:34:28:502,-63,12.5_1
18,11-07-2023 15:34:30:504,-63,12.5_1
19,11-07-2023 15:34:32:501,-67,12.5_1
20,11-07-2023 15:34:34:501,-67,12.5_1
21,11-07-2023 15:34:36:502,-67,12.5_1
22,11-07-2023 15:34:38:502,-67,12.5_1
23,11-07-2023 15:34:40:502,-67,12.5_1
24,11-07-2023 15:34:42:502,-67,12.5_1
25,11-07-2023 15:34:44:501,-67,12.5_1
26,11-07-2023 15:34:46:503,-66,12.5_1
27,11-07-2023 15:34:48:503,-66,12.5_1
28,11-07-2023 15:34:50:503,-66,12.5_1
29,11-07-2023 15:34:52:504,-66,12.5_1
30,11-07-2023 15:34:54:504,-64,12.5_1
31,11-07-2023 15:34:56:504,-64,12.5_1
32,11-07-2023 15:34:58:503,-64,12.5_1
33,11-07-2023 15:35:00:504,-64,12.5_1
34,11-07-2023 15:35:02:504,-64,12.5_1
35,11-07-2023 15:35:04:504,-64,12.5_1
36,11-07-2023 15:35:06:505,-63,12.5_1
37,11-07-2023 15:35:08:505,-63,12.5_1
38,11-07-2023 15:35:10:505,-63,12.5_1
39,11-07-2023 15:35:12:505,-64,12.5_1
40,11-07-2023 15:35:14:506,-64,12.5_1
41,11-07-2023 15:35:16:505,-65,12.5_1
42,11-07-2023 15:35:18:505,-65,12.5_1
43,11-07-2023 15:35:20:506,-66,12.5_1
44,11-07-2023 15:35:22:506,-66,12.5_1
45,11-07-2023 15:35:24:506,-66,12.5_1
46,11-07-2023 15:35:26:507,-65,12.5_1
47,11-07-2023 15:35:28:506,-65,12.5_1
48,11-07-2023 15:35:30:507,-65,12.5_1
49,11-07-2023 15:35:32:506,-66,12.5_1
0,Mac Address ,28:DE:65:6E:4E:16,15e
1,Time, RSSI,15e
2,11-07-2023 17:07:04:313,-72,15e
3,11-07-2023 17:07:06:312,-72,15e
4,11-07-2023 17:07:08:314,-72,15e
5,11-07-2023 17:07:10:315,-72,15e
6,11-07-2023 17:07:12:317,-71,15e
7,11-07-2023 17:07:14:316,-71,15e
8,11-07-2023 17:07:16:317,-71,15e
9,11-07-2023 17:07:18:317,-70,15e
10,11-07-2023 17:07:20:317,-70,15e
11,11-07-2023 17:07:22:318,-70,15e
12,11-07-2023 17:07:24:317,-70,15e
13,11-07-2023 17:07:26:318,-70,15e
14,11-07-2023 17:07:28:318,-70,15e
15,11-07-2023 17:07:30:319,-70,15e
16,11-07-2023 17:07:32:320,-70,15e
17,11-07-2023 17:07:34:320,-69,15e
18,11-07-2023 17:07:36:321,-69,15e
19,11-07-2023 17:07:38:321,-69,15e
20,11-07-2023 17:07:40:321,-69,15e
21,11-07-2023 17:07:42:321,-69,15e
22,11-07-2023 17:07:44:322,-69,15e
23,11-07-2023 17:07:46:322,-70,15e
24,11-07-2023 17:07:48:321,-70,15e
25,11-07-2023 17:07:50:322,-71,15e
26,11-07-2023 17:07:52:321,-71,15e
27,11-07-2023 17:07:54:322,-71,15e
28,11-07-2023 17:07:56:322,-71,15e
29,11-07-2023 17:07:58:323,-71,15e
30,11-07-2023 17:08:00:323,-71,15e
31,11-07-2023 17:08:02:323,-71,15e
32,11-07-2023 17:08:04:324,-71,15e
33,11-07-2023 17:08:06:323,-71,15e
34,11-07-2023 17:08:08:324,-71,15e
35,11-07-2023 17:08:10:323,-71,15e
36,11-07-2023 17:08:12:324,-71,15e
37,11-07-2023 17:08:14:324,-72,15e
38,11-07-2023 17:08:16:324,-72,15e
39,11-07-2023 17:08:18:324,-72,15e
40,11-07-2023 17:08:20:326,-72,15e
41,11-07-2023 17:08:22:325,-73,15e
42,11-07-2023 17:08:24:325,-73,15e
43,11-07-2023 17:08:26:325,-73,15e
44,11-07-2023 17:08:28:326,-73,15e
45,11-07-2023 17:08:30:326,-74,15e
46,11-07-2023 17:08:32:327,-74,15e
47,11-07-2023 17:08:34:326,-74,15e
48,11-07-2023 17:08:36:328,-71,15e
49,11-07-2023 17:08:38:329,-70,15e
50,11-07-2023 17:08:40:328,-70,15e
51,11-07-2023 17:08:42:328,-70,15e
52,11-07-2023 17:08:44:329,-70,15e
53,11-07-2023 17:08:46:329,-69,15e
54,11-07-2023 17:08:48:330,-70,15e
55,11-07-2023 17:08:50:329,-70,15e
56,11-07-2023 17:08:52:330,-71,15e
57,11-07-2023 17:08:54:332,-71,15e
0,Mac Address ,28:DE:65:6E:4E:16,15m
1,Time, RSSI,15m
2,11-07-2023 15:49:09:742,-58,15m
3,11-07-2023 15:49:11:743,-58,15m
4,11-07-2023 15:49:13:745,-57,15m
